work_item_id	source_file	yaml_edge_index	source	target	sign	review_status	current_evidence_status	context	self_regulation	mechanism_excerpt	evidence_excerpt
legacy-evidence-2c337c6a1f0e78fcfb3b	benchmarks/human/systems/adrenal_cortisol.yaml	0	crh	pituitary_acth_secretion	+	proposal-pending	legacy-evidence-unclassified		False	CRH stimulates corticotrope ACTH (POMC) release from anterior pituitary	HumMod endocrine (CRH -> ACTH); Boron & Boulpaep HPA axis | textbook corroboration: OpenStax Anatomy & Physiology 2e §anp-091 (17.4: The Pituitary Gland and Hypothalamus): 'The release of ACTH is regulated by the corticotropin-releasing hor
legacy-evidence-4bf97a6344cdb0b37e73	benchmarks/human/systems/adrenal_cortisol.yaml	3	cortisol	crh	-	proposal-pending	legacy-evidence-unclassified		False	cortisol suppresses hypothalamic CRH secretion (long-loop feedback)	Boron & Boulpaep HPA axis — glucocorticoid feedback at hypothalamus | textbook corroboration: OpenStax Anatomy & Physiology 2e §anp-090 (17.3: Hormones): 'when glucocorticoid levels become elevated by causing negative signals to the pituita
legacy-evidence-69b4cfd2d3b1270f095f	benchmarks/human/systems/adrenal_cortisol.yaml	4	pituitary_acth_secretion	acth	+	proposal-pending	legacy-evidence-unclassified		False	anterior-pituitary corticotroph ACTH secretory output sets the circulating ACTH concentration (mass balance: plasma [ACTH] = secretion − clearance)	HumMod endocrine / Boron & Boulpaep HPA axis model plasma ACTH as the corticotroph secretory output into the circulation. Curated by Paul N. Schofield. *** DRAFT FOR REVIEW ***
legacy-evidence-630ff00d4bcff82b6c67	benchmarks/human/systems/adrenal_cortisol.yaml	8	cortisol	total_peripheral_resistance	+	proposal-pending	legacy-evidence-unclassified		False	permissive action — sensitises arteriolar smooth muscle to catecholamines/AngII	Boron & Boulpaep — glucocorticoid permissive vascular tone
legacy-evidence-b2e99ae78279add664de	benchmarks/human/systems/adrenal_cortisol.yaml	9	cortisol	sodium_water_reabsorption	+	proposal-pending	legacy-evidence-unclassified		False	at high levels cortisol exerts mineralocorticoid (renal MR) activity, raising Na/water retention	Boron & Boulpaep — high cortisol overwhelms 11b-HSD2, MR activation; clinical Cushing's
legacy-evidence-550a82796397feb64746	benchmarks/human/systems/aminoacid_metabolism.yaml	3	plasma_homocysteine	plasma_methionine	+	proposal-pending	legacy-evidence-unclassified		False	accumulated homocysteine is salvaged by remethylation (methionine synthase / betaine-homocysteine methyltransferase) back to methionine; higher homocysteine drives higher methionine remethylation flux, so plasma methionine rises (the charac	Lehninger Principles of Biochemistry Ch. 22 (homocysteine remethylation to methionine via the methionine cycle); classic homocystinuria OMIM 236200 (hypermethioninemia); Boron & Boulpaep Medical Physiology
legacy-evidence-87393336e118d1258e0c	benchmarks/human/systems/aminoacid_metabolism.yaml	6	hepatic_urea_synthesis	plasma_ammonia	-	proposal-pending	legacy-evidence-unclassified		False	urea synthesis is the principal route of ammonia disposal; higher hepatic ureagenesis lowers the circulating ammonia load, so reduced urea synthesis raises plasma ammonia (hyperammonemia of urea-cycle disorders).	Lehninger Principles of Biochemistry Ch. 18 (ureagenesis as ammonia detoxification); Boron & Boulpaep Medical Physiology (hepatic ammonia clearance); OTC deficiency OMIM 311250 | textbook corroboration: OpenStax Anatomy & Physiology 2e §anp
legacy-evidence-142b5cef760301940459	benchmarks/human/systems/aminoacid_metabolism.yaml	7	plasma_ammonia	plasma_glutamine	+	proposal-pending	legacy-evidence-unclassified		False	excess ammonia is buffered by glutamine synthetase amidation of glutamate to glutamine (the major non-toxic ammonia carrier); rising ammonia raises plasma glutamine (elevated glutamine is an early marker of hyperammonemia).	Boron & Boulpaep Medical Physiology (glutamine as the principal circulating ammonia carrier); Lehninger Principles of Biochemistry Ch. 18 (glutamine synthetase ammonia fixation); urea-cycle disorders OMIM 311250
legacy-evidence-d689d94fd4d1e3d628cb	benchmarks/human/systems/aminoacid_metabolism.yaml	8	plasma_ammonia	hepatic_urea_synthesis	+	proposal-pending	legacy-evidence-unclassified		False	ammonia (as carbamoyl phosphate via CPS1) is the entry substrate of the urea cycle; higher ammonia load drives higher ureagenesis when urea-cycle capacity is intact (substrate-driven flux). This closes a negative-feedback loop with hepatic_	Lehninger Principles of Biochemistry Ch. 18 (ammonia/carbamoyl phosphate is the first urea-cycle substrate; flux responds to nitrogen load); Boron & Boulpaep Medical Physiology | textbook corroboration: OpenStax Anatomy & Physiology 2e §anp
legacy-evidence-3211d64237be3b76d5be	benchmarks/human/systems/bilirubin_liver_function.yaml	1	hepatic_bilirubin_uptake	hepatic_bilirubin_conjugation	+	proposal-pending	legacy-evidence-unclassified		False	uptake delivers unconjugated bilirubin into the hepatocyte, supplying substrate for UGT1A1; higher uptake raises the achievable conjugation flux (substrate supply)	Boron & Boulpaep Medical Physiology (sequential hepatic bilirubin handling: uptake -> conjugation -> excretion); Lehninger Principles of Biochemistry (heme catabolism / bilirubin glucuronidation)
